,city,latitude,longitude,temperature,humidity,cloudiness,max windspeed
12,hermanus,-34.42,19.24,17.56,95,88,2.02
190,hithadhoo,-0.6,73.08,28.72,100,64,2.47
173,cabedelo,-6.97,-34.84,25.0,94,75,2.6
281,joshimath,30.57,79.57,-20.86,83,8,0.62
454,cape town,-33.93,18.42,18.0,93,20,7.2
458,longyearbyen,78.22,15.63,-11.0,61,20,6.2
175,stromness,42.87,-79.55,-8.88,78,20,2.6
362,chuy,-33.69,-53.46,23.39,91,68,1.07
360,grand gaube,-20.01,57.66,26.0,74,75,5.1
488,abu dhabi,24.47,54.37,17.0,67,0,3.1
368,jamestown,-33.21,138.6,22.34,55,0,2.82
531,ostrovnoy,68.05,39.51,-10.66,87,44,5.12
283,colinas,-6.03,-44.25,22.07,98,12,0.92
428,jijiga,9.35,42.8,7.62,87,0,1.07
234,honavar,14.28,74.45,23.42,89,0,1.47
183,port alfred,-33.59,26.89,22.09,94,100,1.32
511,shache,38.42,77.24,-8.86,73,56,1.77
505,coquimbo,-29.95,-71.34,16.0,93,20,2.6
130,leningradskiy,69.38,178.42,-15.29,77,36,5.52
40,nazarovo,56.01,90.42,-36.14,57,0,1.82
101,saint-philippe,45.36,-73.48,-10.43,47,1,7.2
382,ushuaia,-54.81,-68.31,7.0,81,75,12.3
19,saint-philippe,45.36,-73.48,-10.43,47,1,7.2
309,bredasdorp,-34.53,20.04,21.0,83,92,4.6
592,ushuaia,-54.81,-68.31,7.0,81,75,12.3
241,saint-philippe,45.36,-73.48,-10.43,47,1,7.2
289,eydhafushi,5.1,73.07,28.12,100,48,1.77
51,saint george,39.45,22.34,1.07,70,20,1.02
53,georgetown,6.8,-58.16,23.0,94,40,2.1
3,bathsheba,13.22,-59.52,25.0,73,40,7.2
97,qasigiannguit,68.82,-51.19,-13.0,65,20,4.1
262,bredasdorp,-34.53,20.04,21.0,83,92,4.6
148,coihaique,-45.58,-72.07,9.33,53,48,1.5
493,busselton,-33.64,115.35,24.09,80,0,6.87
433,busselton,-33.64,115.35,24.09,80,0,6.87
36,batticaloa,7.71,81.69,25.07,100,48,1.62
59,bambous virieux,-20.34,57.76,26.0,74,75,5.1
98,piacabucu,-10.41,-36.43,24.89,88,48,3.52
518,bathsheba,13.22,-59.52,25.0,73,40,7.2
266,sao filipe,14.9,-24.5,21.82,98,24,3.12
536,tasiilaq,65.61,-37.64,-14.0,55,8,0.5
472,arraial do cabo,-22.97,-42.02,23.99,97,36,3.67
581,jamestown,-33.21,138.6,22.34,55,0,2.82
338,voyvozh,62.89,54.96,-8.09,87,80,3.22
320,sao filipe,14.9,-24.5,21.82,98,24,3.12
340,longyearbyen,78.22,15.63,-11.0,61,20,6.2
